                  omega_v                        N
                      0.2                       90
                 0.202002                       90
                 0.204003                       89
                 0.206005                       88
                 0.208007                       78
                 0.210009                       65
                  0.21201                       39
                 0.214012                       28
                 0.216014                       32
                 0.218016                       42
                 0.220017                       75
                 0.222019                       97
                 0.224021                       98
                 0.226023                       98
                 0.228024                       98
                 0.230026                       98
                 0.232028                       98
                  0.23403                       98
                 0.236031                       98
                 0.238033                       98
                 0.240035                       98
                 0.242037                       98
                 0.244038                       98
                  0.24604                       98
                 0.248042                       98
                 0.250044                       98
                 0.252045                       98
                 0.254047                       97
                 0.256049                       97
                  0.25805                       97
                 0.260052                       97
                 0.262054                       97
                 0.264056                       97
                 0.266057                       97
                 0.268059                       97
                 0.270061                       97
                 0.272063                       97
                 0.274064                       97
                 0.276066                       97
                 0.278068                       97
                  0.28007                       97
                 0.282071                       97
                 0.284073                       97
                 0.286075                       97
                 0.288077                       97
                 0.290078                       97
                  0.29208                       97
                 0.294082                       97
                 0.296084                       97
                 0.298085                       97
                 0.300087                       97
                 0.302089                       97
                 0.304091                       97
                 0.306092                       97
                 0.308094                       97
                 0.310096                       97
                 0.312097                       97
                 0.314099                       97
                 0.316101                       97
                 0.318103                       97
                 0.320104                       97
                 0.322106                       97
                 0.324108                       97
                  0.32611                       97
                 0.328111                       97
                 0.330113                       97
                 0.332115                       97
                 0.334117                       97
                 0.336118                       97
                  0.33812                       97
                 0.340122                       97
                 0.342124                       97
                 0.344125                       97
                 0.346127                       97
                 0.348129                       97
                 0.350131                       97
                 0.352132                       97
                 0.354134                       97
                 0.356136                       97
                 0.358138                       97
                 0.360139                       97
                 0.362141                       97
                 0.364143                       97
                 0.366144                       97
                 0.368146                       97
                 0.370148                       97
                  0.37215                       97
                 0.374151                       97
                 0.376153                       97
                 0.378155                       97
                 0.380157                       96
                 0.382158                       96
                  0.38416                       96
                 0.386162                       94
                 0.388164                       93
                 0.390165                       89
                 0.392167                       83
                 0.394169                       44
                 0.396171                        9
                 0.398172                        2
                 0.400174                        1
                 0.402176                        0
                 0.404178                        0
                 0.406179                        0
                 0.408181                        0
                 0.410183                        0
                 0.412185                        0
                 0.414186                        0
                 0.416188                        0
                  0.41819                        0
                 0.420191                        0
                 0.422193                        0
                 0.424195                        0
                 0.426197                        0
                 0.428198                        0
                   0.4302                        0
                 0.432202                        0
                 0.434204                        0
                 0.436205                        0
                 0.438207                        0
                 0.440209                        0
                 0.442211                        0
                 0.444212                        0
                 0.446214                        0
                 0.448216                        0
                 0.450218                        0
                 0.452219                        0
                 0.454221                        0
                 0.456223                        0
                 0.458225                        0
                 0.460226                        0
                 0.462228                        0
                  0.46423                        1
                 0.466232                        0
                 0.468233                        0
                 0.470235                        0
                 0.472237                        0
                 0.474238                        0
                  0.47624                        0
                 0.478242                        2
                 0.480244                        5
                 0.482245                       16
                 0.484247                       29
                 0.486249                       38
                 0.488251                       47
                 0.490252                       53
                 0.492254                       57
                 0.494256                       59
                 0.496258                       65
                 0.498259                       65
                 0.500261                       66
                 0.502263                       67
                 0.504265                       67
                 0.506266                       70
                 0.508268                       75
                  0.51027                       76
                 0.512272                       76
                 0.514273                       77
                 0.516275                       80
                 0.518277                       80
                 0.520279                       82
                  0.52228                       83
                 0.524282                       85
                 0.526284                       86
                 0.528285                       86
                 0.530287                       88
                 0.532289                       88
                 0.534291                       88
                 0.536292                       88
                 0.538294                       88
                 0.540296                       88
                 0.542298                       89
                 0.544299                       89
                 0.546301                       89
                 0.548303                       89
                 0.550305                       89
                 0.552306                       90
                 0.554308                       90
                  0.55631                       90
                 0.558312                       90
                 0.560313                       90
                 0.562315                       90
                 0.564317                       90
                 0.566319                       90
                  0.56832                       90
                 0.570322                       90
                 0.572324                       90
                 0.574326                       90
                 0.576327                       90
                 0.578329                       90
                 0.580331                       90
                 0.582332                       90
                 0.584334                       90
                 0.586336                       91
                 0.588338                       91
